Model,Lead_5th_ms,Lead_median_ms,Lead_IQR_ms,Lead_95th_ms,Lead_mean_ms,Lead_norm_mean,seed
Shallow ML,200.0,600.0000000000001,100.00000000000011,600.0000000000001,541.0852713178294,0.5556147811457118,7
GCN,200.0,600.0000000000001,100.00000000000011,600.0000000000001,541.0852713178294,0.5556147811457118,7
GraphSAGE,200.0,600.0000000000001,100.00000000000011,600.0000000000001,541.0852713178294,0.5556147811457118,7
GAT,200.0,600.0000000000001,100.00000000000011,600.0000000000001,541.0852713178294,0.5556147811457118,7
FANET-TopoGNN (concat),200.0,600.0000000000001,100.00000000000011,600.0000000000001,538.7596899224807,0.5532754389137041,7
T-GCN (w=5),300.00000000000006,600.0000000000001,100.00000000000011,600.0000000000001,543.6507936507936,0.5604119779823947,7
PI+MLP,100.0,600.0000000000001,100.00000000000011,600.0000000000001,517.8294573643411,0.5466426307006932,7
FANET-TopoGNN,200.0,600.0000000000001,100.00000000000011,600.0000000000001,534.1085271317829,0.5485967544496887,7
STGCN (w=5),100.0,600.0000000000001,100.00000000000011,600.0000000000001,519.047619047619,0.535630091349791,7
TGN (w=5),25.0,600.0000000000001,100.00000000000011,600.0000000000001,503.1746031746032,0.5187789786720789,7
Kinetic-TopoGuard,0.0,200.0,500.0,600.0000000000001,258.91472868217056,0.32059807696426645,7
Current-state persistence baseline,0.0,0.0,0.0,0.0,0.0,0.0,7
Shallow ML,110.00000000000014,600.0000000000001,100.00000000000011,600.0000000000001,518.7192118226601,0.5865830013226987,17
GCN,0.0,600.0000000000001,400.0000000000001,600.0000000000001,422.6600985221675,0.4726884082222507,17
GraphSAGE,100.0,600.0000000000001,200.0000000000001,600.0000000000001,478.32512315270935,0.5300998832233634,17
GAT,0.0,600.0000000000001,250.0000000000001,600.0000000000001,455.17241379310343,0.5061972746326625,17
FANET-TopoGNN (concat),110.00000000000014,600.0000000000001,100.00000000000011,600.0000000000001,518.7192118226601,0.5865830013226987,17
STGCN (w=5),0.0,600.0000000000001,400.0000000000001,600.0000000000001,436.0,0.4871823050906321,17
PI+MLP,110.00000000000014,600.0000000000001,100.00000000000011,600.0000000000001,518.7192118226601,0.5865830013226987,17
FANET-TopoGNN,110.00000000000014,600.0000000000001,100.00000000000011,600.0000000000001,518.7192118226601,0.5865830013226987,17
T-GCN (w=5),0.0,500.0,400.0000000000001,600.0000000000001,406.5,0.4581903089451987,17
TGN (w=5),0.0,500.0,425.0000000000001,600.0000000000001,392.0,0.4485752990979083,17
Kinetic-TopoGuard,0.0,200.0,600.0000000000001,600.0000000000001,272.41379310344826,0.3456167018995929,17
Current-state persistence baseline,0.0,0.0,0.0,0.0,0.0,0.0,17
Shallow ML,100.0,600.0000000000001,200.0000000000001,600.0000000000001,484.61538461538464,0.5671727321319832,27
GCN,100.0,600.0000000000001,200.0000000000001,600.0000000000001,473.96449704142015,0.5568547438705537,27
GraphSAGE,100.0,600.0000000000001,200.0000000000001,600.0000000000001,479.2899408284024,0.5634772232345158,27
GAT,100.0,600.0000000000001,200.0000000000001,600.0000000000001,481.06508875739644,0.5625963025915791,27
FANET-TopoGNN (concat),100.0,600.0000000000001,200.0000000000001,600.0000000000001,473.37278106508876,0.5573211118174759,27
T-GCN (w=5),100.0,600.0000000000001,200.0000000000001,600.0000000000001,481.5950920245399,0.5795928018618344,27
PI+MLP,100.0,600.0000000000001,300.00000000000006,600.0000000000001,453.84615384615387,0.5477488318001676,27
FANET-TopoGNN,100.0,600.0000000000001,200.0000000000001,600.0000000000001,481.06508875739644,0.5650843228037548,27
STGCN (w=5),100.0,600.0000000000001,200.0000000000001,600.0000000000001,485.2760736196319,0.5813884026399281,27
TGN (w=5),100.0,600.0000000000001,200.0000000000001,600.0000000000001,488.95705521472394,0.5825606897721229,27
Kinetic-TopoGuard,0.0,200.0,600.0000000000001,600.0000000000001,274.5562130177515,0.35332016647012027,27
Current-state persistence baseline,0.0,0.0,0.0,0.0,0.0,0.0,27
