seed,Model,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,Model_Backend
37,Kinetic-TopoGuard,0.4210771741664724,0.9955898566703418,0.5918400786498443,0.538989974006684,0.6540277777777778,0.8922100393214342,0.9545853904381116,0.09037784770938977,0.1339448655777542,2483.0,206.91666666666666,scikit_learn
37,GCN,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,0.28095954064351447,0.5929891535529862,0.6029166666666667,0.6029166666666667,4319.0,359.9166666666667,pytorch
37,GAT,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,0.2491983215584819,0.5441101332172797,0.6806944444444445,0.6806944444444444,4896.0,408.0,pytorch
37,GraphSAGE,0.30657181571815717,0.9977949283351709,0.4690334283493132,0.23988117341255105,0.43083333333333335,0.2907693490859277,0.618838050873861,0.5691666666666667,0.5691666666666666,4094.0,341.1666666666667,pytorch
37,PI+MLP,0.2646370023419204,0.9966923925027563,0.4182280823502198,0.06721128852580766,0.3013888888888889,0.2438974141931703,0.531951840514282,0.6986111111111111,0.6986111111111111,5024.0,418.6666666666667,pytorch
37,FANET-TopoGNN,0.2972573493184431,0.9977949283351709,0.4580539035809187,0.20553286297809134,0.4051388888888889,0.2840623861198841,0.6016638956566311,0.5948611111111111,0.594861111111111,4279.0,356.5833333333333,pytorch
37,FANET-TopoGNN (concat),0.3778996204133277,0.9878721058434399,0.5466748017083587,0.45228369847753436,0.5872222222222222,0.3817706948000414,0.7200779021604871,0.4127777777777778,0.4127777777777778,2950.0,245.83333333333334,pytorch
37,T-GCN (w=5),0.36258278145695366,0.9937606352807714,0.53131159969674,0.4180993765350463,0.5619331065759637,0.666091700604788,0.7059300059079088,0.43806689342403626,0.4380668934240362,3080.0,261.9047619047619,pytorch
37,STGCN (w=5),0.35531655844155846,0.9931934203062961,0.5233896278583171,0.3997732854713773,0.5480442176870748,0.6655409461183476,0.6964833528888367,0.45195578231292516,0.4519557823129251,3177.0,270.1530612244898,pytorch
37,TGN (w=5),0.24985827664399093,1.0,0.39981857353441436,0.0,0.24985827664399093,0.6059244730061162,0.5,0.750141723356009,0.750141723356009,5293.0,450.0850340136054,pytorch
47,Kinetic-TopoGuard,0.37273991655076494,0.9962825278810409,0.5425101214574899,0.5155746509129968,0.6233333333333333,0.79481230292063,0.9230776312351068,0.10261901375589977,0.11180982799657486,2706.0,225.5,scikit_learn
47,GCN,0.3087195600942655,0.9739776951672863,0.46883388010736654,0.3698532044396706,0.5052777777777778,0.23550947502131458,0.6719154498034785,0.49472222222222223,0.49472222222222223,3520.0,293.3333333333333,pytorch
47,GAT,0.33513163573586535,0.9622057001239157,0.4971190781049936,0.44844253490870034,0.5636111111111111,0.2655014879806165,0.7053241175163081,0.4363888888888889,0.4363888888888889,3081.0,256.75,pytorch
47,GraphSAGE,0.3239349660423956,0.9752168525402726,0.48632782326587365,0.41192266380236303,0.5381944444444444,0.2550330786008896,0.6935697581713178,0.4618055555555556,0.4618055555555555,3285.0,273.75,pytorch
47,PI+MLP,0.22438752783964366,0.9987608426270136,0.3664469197544897,0.002506265664160401,0.22583333333333333,0.14696835932073585,0.5006335541455871,0.7741666666666667,0.7741666666666667,5572.0,464.3333333333333,pytorch
47,FANET-TopoGNN,0.2755662319835278,0.9950433705080545,0.43160440741736095,0.24418188327962764,0.4125,0.1962054957708029,0.619612626893841,0.5875,0.5874999999999999,4222.0,351.8333333333333,pytorch
47,FANET-TopoGNN (concat),0.266468548786528,1.0,0.4208056315995307,0.2046186895810956,0.3829166666666667,0.18633344032677368,0.6023093447905479,0.6170833333333333,0.6170833333333334,4443.0,370.25,pytorch
47,T-GCN (w=5),0.25930807248764415,0.9993650793650793,0.41177240026160894,0.17971173143586935,0.36267006802721086,0.43390582345420703,0.5895384054004744,0.6373299319727891,0.6373299319727891,4496.0,382.312925170068,pytorch
47,STGCN (w=5),0.3022489336952307,0.9898412698412699,0.46309223228872715,0.34336799854041233,0.48767006802721086,0.5006659639232519,0.6666046341908411,0.5123299319727891,0.5123299319727891,3599.0,306.0374149659864,pytorch
47,TGN (w=5),0.29330598545590153,0.9987301587301587,0.4534447967714038,0.3085203430031016,0.46258503401360546,0.49831973794454254,0.6536252508666301,0.5374149659863946,0.5374149659863947,3790.0,322.27891156462584,pytorch
